name,artists,release_date,danceability,energy,valence,acousticness,speechiness,instrumentalness,duration_ms,score,percentile,already_charted_in_tw
Los Padres De San Francisco,['Los Hermanos Rincon'],2004-11-11,0.723,0.423,0.873,0.122,0.2,0.0837,90387,0.8582723936705194,99.990992676353,False
Sheep Laid Out to Dry,"['People Like Us', 'Wobbly']",2010-06-15,0.49,0.43,0.8,0.131,0.3389999999999999,0.0867,65747,0.8580449917314706,99.99085410214305,False
A Real Bad Dream,['Kris Kross'],1992-03-17,0.753,0.6990000000000001,0.889,0.00682,0.168,0.0913,118680,0.8580141803341119,99.99071552793309,False
Mutiny,"['King Django', 'Vic Ruggiero']",,0.8690000000000001,0.518,0.84,0.242,0.391,0.0855,214787,0.8579321039284779,99.99057695372315,False
Compound X,['Robert Pollard'],2009-08-11,0.6509999999999999,0.563,0.961,0.0161,0.025,0.0956,96840,0.857225728011132,99.9904383795132,False
Traveling Bossa,['Alexandre Desplat'],2016-07-01,0.7609999999999999,0.7659999999999999,0.952,0.0682,0.0375,0.0996,116040,0.8571612029449744,99.99029980530324,False
Peacockin' Party,['Benji Hughes'],2016-01-29,0.7929999999999999,0.735,0.974,0.0461,0.0432,0.0995,159640,0.8565612697743759,99.99016123109328,False
Grand écart - Rouge Gorge Remix,"['Camembert Au Lait Crew', 'Rouge Gorge']",2017-12-01,0.8340000000000001,0.354,0.74,0.0279999999999999,0.0672,0.0913,156711,0.8563778671174498,99.99002265688333,False
会いたかった (大島麻衣ver.) - Mai Ohshima Version,['AKB48'],,0.65,0.612,0.97,0.134,0.102,0.0872,16600,0.8562594718216323,99.98988408267337,False
the metallophone song no. 2,['Sébastien Roux'],2005-11-01,0.434,0.0999,0.216,0.0009029999999999,0.449,0.0862,59707,0.8559803768086308,99.98974550846343,False
Piano Piece 1955,"['Morton Feldman', 'Aki Takahashi']",1996-09-24,0.575,0.000522,0.5770000000000001,0.961,0.858,0.0771,141373,0.8552223886891651,99.98960693425346,False
Faeries,['Mannheim Steamroller'],,0.721,0.483,0.845,0.0121,0.0325,0.0972,149613,0.85510539743792,99.9894683600435,False
Play Play,['Rita Marley'],2005-06-20,0.831,0.318,0.6709999999999999,0.0113,0.265,0.0826,185720,0.8549089077497217,99.98932978583356,False
Just Desserts,['Dazario'],2007-11-09,0.8009999999999999,0.49,0.532,0.00596,0.156,0.0995,182707,0.854661821434168,99.9891912116236,False
